KMLid,OBJECTID,Validity_d,area,bp_address,deal_props,dealing,house_no,last_sale,postcode,price,propid,sale_date,strata,street,suburb,urbanity
3326000/3326103,334701,29 March 2026,2099,"17B MALTON RD, BEECROFT NSW 2119",1,AT670717,17B,Y,2119,3823000,3326103,9 September 2023,0,MALTON ROAD,BEECROFT,U
650000/650532,321367,29 March 2026,916.9,"16 KEDRON AVE, BEECROFT NSW 2119",1,AQ629368,16,Y,2119,2810000,650532,9 October 2020,0,KEDRON AVENUE,BEECROFT,U
3927000/3927507,335948,29 March 2026,988.2,"18 PENRHYN AVE, BEECROFT NSW 2119",1,AQ573409,18,Y,2119,1600000,3927507,9 October 2020,0,PENRHYN AVENUE,BEECROFT,U
648000/648341,320373,29 March 2026,695.6,"77 HULL RD, BEECROFT NSW 2119",1,AU830127,77,Y,2119,2365000,648341,9 November 2024,0,HULL ROAD,BEECROFT,U
655000/655820,1396306,29 March 2026,897.9,"18 MARWOOD DR, BEECROFT NSW 2119",1,AR855331,18,Y,2119,2475000,655820,9 November 2021,0,MARWOOD DRIVE,BEECROFT,U
624000/624246,309996,29 March 2026,1088,"6 ALBERT RD, BEECROFT NSW 2119",1,AP797142,6,Y,2119,2420000,624246,9 November 2019,0,ALBERT ROAD,BEECROFT,U
634000/634146,314240,29 March 2026,1012,"29 CHAPMAN AVE, BEECROFT NSW 2119",1,AP751287,29,Y,2119,1810000,634146,9 November 2019,0,CHAPMAN AVENUE,BEECROFT,U
660000/660316,325438,29 March 2026,1012,"3 OAKLANDS AVE, BEECROFT NSW 2119",1,AP752413,3,Y,2119,3553000,660316,9 November 2019,0,OAKLANDS AVENUE,BEECROFT,U
652000/652144,1396129,29 March 2026,904.2,"85 LAMORNA AVE, BEECROFT NSW 2119",1,AP787353,85,Y,2119,1655000,652144,9 November 2019,0,LAMORNA AVENUE,BEECROFT,U
632000/632972,313731,29 March 2026,573.8,"51A CARDINAL AVE, BEECROFT NSW 2119",1,AV127383,51A,Y,2119,1850000,632972,9 May 2025,0,CARDINAL AVENUE,BEECROFT,U
626000/626738,1394733,29 March 2026,1208,"48 BAMBARA CRES, BEECROFT NSW 2119",1,AQ189051,48,Y,2119,1375000,626738,9 May 2020,0,BAMBARA CRESCENT,BEECROFT,U
652000/652163,1396144,29 March 2026,935.8,"47 LAMORNA AVE, BEECROFT NSW 2119",1,AU226273,47,Y,2119,3700000,652163,9 March 2024,0,LAMORNA AVENUE,BEECROFT,U
663000/663429,326325,29 March 2026,910.6,"6 PARK AVE, BEECROFT NSW 2119",1,AT23195,6,Y,2119,2420000,663429,9 March 2023,0,PARK AVENUE,BEECROFT,U
634000/634189,314259,29 March 2026,1151,"52 CHAPMAN AVE, BEECROFT NSW 2119",1,AR302011,52,Y,2119,2866000,634189,9 June 2021,0,CHAPMAN AVENUE,BEECROFT,U
660000/660312,325436,29 March 2026,1012,"6 OAKLANDS AVE, BEECROFT NSW 2119",1,AQ251447,6,Y,2119,2100000,660312,9 June 2020,0,OAKLANDS AVENUE,BEECROFT,U
652000/652160,1396142,29 March 2026,1144,"53 LAMORNA AVE, BEECROFT NSW 2119",1,AS441729,53,Y,2119,2480000,652160,9 July 2022,0,LAMORNA AVENUE,BEECROFT,U
657000/657825,1396513,29 March 2026,916.9,"88 MURRAY FARM RD, BEECROFT NSW 2119",1,AV807405,88,Y,2119,3500000,657825,9 December 2025,0,MURRAY FARM ROAD,BEECROFT,U
648000/648370,320387,29 March 2026,1100,"35 HULL RD, BEECROFT NSW 2119",1,AT868734,35,Y,2119,3435000,648370,9 December 2023,0,HULL ROAD,BEECROFT,U
667000/667862,328026,29 March 2026,897.9,"12 RODNEY AVE, BEECROFT NSW 2119",1,AS902164,12,Y,2119,1730000,667862,9 December 2022,0,RODNEY AVENUE,BEECROFT,U
635000/635791,314967,29 March 2026,841,"187 COPELAND RD, BEECROFT NSW 2119",1,AQ732707,187,Y,2119,1561000,635791,9 December 2020,0,COPELAND ROAD,BEECROFT,U
3927000/3927114,335939,29 March 2026,866.3,"9 COPELAND RD, BEECROFT NSW 2119",1,AQ735211,9,Y,2119,1800000,3927114,9 December 2020,0,COPELAND ROAD,BEECROFT,U
635000/635849,314998,29 March 2026,1640,"127 COPELAND RD, BEECROFT NSW 2119",1,AU553337,127,Y,2119,3490000,635849,9 August 2024,0,COPELAND ROAD,BEECROFT,U
646000/646021,319212,29 March 2026,815.7,"64 HANNAH ST, BEECROFT NSW 2119",1,AU372890,64,Y,2119,2750000,646021,9 August 2024,0,HANNAH STREET,BEECROFT,U
629000/629097,1394796,29 March 2026,929.5,"1 BINGARA RD, BEECROFT NSW 2119",1,AV225556,1,Y,2119,3000000,629097,9 April 2025,0,BINGARA ROAD,BEECROFT,U
657000/657899,1396563,29 March 2026,878.9,"173 MURRAY FARM RD, BEECROFT NSW 2119",1,AU85266,173,Y,2119,2095000,657899,9 April 2024,0,MURRAY FARM ROAD,BEECROFT,U
634000/634136,314232,29 March 2026,1050,"47 CHAPMAN AVE, BEECROFT NSW 2119",1,AS107412,47,Y,2119,2875000,634136,9 April 2022,0,CHAPMAN AVENUE,BEECROFT,U
652000/652143,1396128,29 March 2026,847.3,"87 LAMORNA AVE, BEECROFT NSW 2119",1,AR225239,87,Y,2119,2060000,652143,9 April 2021,0,LAMORNA AVENUE,BEECROFT,U
650000/650399,1395956,29 March 2026,1012,"74 KARRIL AVE, BEECROFT NSW 2119",1,AT524335,74,Y,2119,2180000,650399,8 September 2023,0,KARRIL AVENUE,BEECROFT,U
664000/664735,1396976,29 March 2026,885.2,"26 MAHER CL, BEECROFT NSW 2119",1,AT632168,26,Y,2119,2380000,664735,8 September 2023,0,MAHER CLOSE,BEECROFT,U
660000/660049,1396691,29 March 2026,834.7,"27 NORWOOD AVE, BEECROFT NSW 2119",1,AP619132,27,Y,2119,1580000,660049,8 September 2019,0,NORWOOD AVENUE,BEECROFT,U
